Time_s,Altitude_m,Velocity_ms,Mass_kg,Weight_N,Thrust_N,Drag_N,Acceleration_ms2,Temp_K,Press_Pa,Density_kgm3,Speed_of_Sound_ms,Mach_Number,Mass_Flow_Rate_kgs
0,0,0,69607.7514648438,682852.041870117,3116100,0,34.9565659991018,288.15,101306.33625,1.225,340.262648552556,0,870.260986133802
0.1,0,3.49565659991018,69520.7253662304,681998.31584272,3116100,23.5132949112426,35.0122666016474,288.15,101306.33625,1.225,340.262648552556,0.0102734067779122,870.260986133802
0.2,0.349565659991018,6.99688326007491,69433.699267617,681144.515068897,3116100,94.1992318036481,35.0674285164421,288.14772782321,101301.371267225,1.22494962245549,340.261306997087,0.0205632645152181,870.260986133802
0.3,1.04925398599851,10.5036261117191,69346.6731690036,680290.639710787,3116100,212.266209193673,35.1220467079115,288.143179849091,101291.434102389,1.22484879331716,340.258621732594,0.0308695369958144,870.260986133802
0.4,2.09961659717042,14.0158307825103,69259.6470703902,679436.689932311,3116100,377.908256118497,35.1761163226188,288.136352492118,101276.518348156,1.22469744556538,340.254590610227,0.0411921871718871,870.260986133802
0.5,3.50119967542145,17.5334424147722,69172.6209717769,678582.665899176,3116100,591.304875570813,35.2296326926739,288.12724220211,101256.618393226,1.22449551924731,340.249211485946,0.0515311772162517,870.260986133802
0.6,5.25454391689867,21.0564056840396,69085.5948731635,677728.56777888,3116100,852.620894967466,35.2825913390668,288.11584546454,101231.729426189,1.22424296151208,340.242482220625,0.0618864685756256,870.260986133802
0.7,7.36018448530262,24.5846648179462,68998.5687745501,676874.395740712,3116100,1162.00632380632,35.3349879749209,288.102158800846,101201.847439113,1.22393972664381,340.234400680148,0.072258022024816,870.260986133802
0.8,9.81865096709724,28.1181636154383,68911.5426759367,676020.149955753,3116100,1519.59621866015,35.3868185086663,288.086178768714,101166.96923089,1.22358577609264,340.224964735496,0.0826457977218059,870.260986133802
0.9,12.6304673286411,31.656845466305,68824.5165773233,675165.830596884,3116100,1925.51055565064,35.4380790471267,288.067901962364,101127.092410327,1.2231810785037,340.214172262823,0.0930497552637206,870.260986133802
1,15.7961518752716,35.2006533710176,68737.49047871,674311.437838779,3116100,2379.85411053966,35.4887658985199,288.047325012811,101082.215398972,1.22272560974394,340.202021143537,0.103469853743655,870.260986133802
1.1,19.3162172123733,38.7495299608696,68650.4643800966,673456.97185791,3116100,2882.71634656852,35.5388755753685,288.02444458812,101032.337433688,1.22221935292681,340.188509264358,0.113906051808345,870.260986133802
1.2,23.1911702084603,42.3034175184065,68563.4382814832,672602.432832547,3116100,3434.17131017008,35.588404797317,287.999257393645,100977.458568961,1.22166229843487,340.173634517384,0.124358307716657,870.260986133802
1.3,27.4215119603009,45.8622579981382,68476.4121828698,671747.820942756,3116100,4034.27753467139,35.6373504938544,287.971760172258,100917.579678943,1.22105444394017,340.157394800133,0.134826579398886,870.260986133802
1.4,32.0077377601148,49.4259930475236,68389.3860842564,670893.136370399,3116100,4683.07795209825,35.6857098069392,287.941949704559,100852.702459233,1.22039579442249,340.139788015592,0.145310824516825,870.260986133802
1.5,36.9503370648671,52.9945640282175,68302.3599856431,670038.379299134,3116100,5380.59981318593,35.7334800935239,287.909822809078,100782.82942838,1.21968636218538,340.120812072251,0.155811000524602,870.260986133802
1.6,42.2497934676889,56.5679120375699,68215.3338870297,669183.54991441,3116100,6126.85461569333,35.7806589279772,287.87537634246,100707.963929129,1.21892616686994,340.100464884129,0.166327064730248,870.260986133802
1.7,47.9065846714459,60.1459779303676,68128.3077884163,668328.648403466,3116100,6921.83804111042,35.827244104402,287.838607199636,100628.110129387,1.21811523546646,340.078744370791,0.17685897435798,870.260986133802
1.8,53.9211824644826,63.7287023408078,68041.2816898029,667473.67495533,3116100,7765.5298998416,35.8732336388459,287.799512313981,100543.273022919,1.21725360232376,340.055648457363,0.187406686611172,870.260986133802
1.9,60.2940526985634,67.3160257046924,67954.2555911895,666618.629760813,3116100,8657.89408493994,35.9186257714036,287.758088657459,100453.458429766,1.21634130915631,340.031175074532,0.197970158735996,870.260986133802
2,67.0256552690327,70.9078882818328,67867.2294925762,665763.513012506,3116100,9598.87853445976,35.9634189682079,287.714333240751,100358.672996399,1.21537840504906,340.005322158542,0.208549348085701,870.260986133802
2.1,74.1164440972159,74.5042301786536,67780.2033939628,664908.324904775,3116100,10588.415202487,36.0076119233086,287.668243113368,100258.924195581,1.21436494646005,339.978087651177,0.219144212185511,870.260986133802
2.2,81.5668671150813,78.1049913709845,67693.1772953494,664053.065633759,3116100,11626.4200388991,36.0512035604362,287.619815363752,100154.220325968,1.21330099722073,339.949469499741,0.229754708798108,870.260986133802
2.3,89.3773662521798,81.7101117270281,67606.151196736,663197.735397359,3116100,12712.7929778982,36.0941930346503,287.569047119361,100044.570511424,1.21218662853397,339.919465657028,0.240380795989695,870.260986133802
2.4,97.5483774248826,85.3195310304931,67519.1250981226,662342.334395237,3116100,13847.4179353528,36.1365797338694,287.515935546738,99929.9847000604,1.21102191896981,339.888074081277,0.251022432196579,870.260986133802
2.5,106.080330527932,88.93318900388,67432.0989995093,661486.862828809,3116100,15030.1628149766,36.1783632802824,287.460477851568,99810.4736629968,1.20980695445896,339.855292736129,0.261679576292283,870.260986133802
2.6,114.97364942832,92.5510253319083,67345.0729008959,660631.320901235,3116100,16260.8795233617,36.219543531639,287.402671278716,99686.0489928488,1.20854182828394,339.821119590569,0.272352187655133,870.260986133802
2.7,124.228751961511,96.1729796850722,67258.0468022825,659775.708817416,3116100,17539.4039938795,36.2601205824184,287.34251311225,99556.7231019327,1.20722664106797,339.785552618857,0.283040226236314,870.260986133802
